t,Market Portfolio,Manager A,Manager B,Manager C
1,0.201415075,0.182248412,-0.133703409,0.027714989
2,0.079232627,0.170667705,0.0643314,-0.101649148
3,0.110145592,-0.070771568,-0.13569811,0.092446274
4,0.142818856,0.215815394,-0.128895236,-0.176117873
5,-0.034944169,0.243625221,-0.188577616,-0.47672252
6,0.16710307,0.07845931,0.197601112,0.296454909
7,0.044438257,0.112529903,0.052891009,-0.175480507
8,0.039679351,-0.042828663,-0.036369344,0.088263003
9,0.113306092,0.320555246,0.36396509,0.416107823
10,0.030835908,-0.110320376,-0.414659729,-0.128634283
11,0.049886145,0.255638174,0.130155074,0.101646173
12,0.235474466,0.086805173,0.442073131,0.329512582
13,0.058938131,0.494770767,0.17783568,0.426367024
14,0.09002588,0.305455455,-0.16629386,0.252425773
15,0.106491719,-0.172189316,0.190033966,0.034131926
16,-0.030708193,0.042372378,0.003575969,-0.125561234
17,0.206988109,0.463079879,-0.005868358,0.278255229
18,0.013584508,-0.223275434,-0.089773464,-0.270119445
19,0.141242175,0.549244022,0.134707972,0.1443945
20,0.097309209,0.259109512,0.437924284,0.416463152
21,0.113754567,0.131750411,0.52590299,0.295949219
22,-0.123324194,-0.279447546,-0.080836013,-0.10346927
23,0.068436095,0.426466057,0.023934314,-0.136528843
24,0.146653503,0.080660167,0.314025138,0.139817267
25,0.212016848,0.20137894,0.09065042,0.04956047
26,0.147889041,0.107509145,0.159110238,0.064345682
27,0.013720355,0.545531456,0.093386612,-0.528930845
28,0.057011209,0.065098476,-0.139618193,0.375718762
29,0.145621044,0.044932807,0.076591798,-0.02875158
30,0.003082846,0.362670819,0.22020743,0.224025597
31,0.004677316,-0.597403513,-0.205756059,-0.257145062
32,0.05639062,0.508090215,0.12924711,-0.096453052
33,-0.094639728,-0.163965436,-0.180933405,-0.392105135
34,0.03147248,-0.048751087,0.245185372,0.199704344
35,0.125049915,0.333844452,-0.184607737,-0.419575651
36,-0.009963691,-0.26807453,-0.267860247,0.135910576
37,-0.152703728,-0.087137739,-0.0212986,-0.372414401
38,0.078883438,0.33966405,-0.124916851,0.079545092
39,0.05580255,0.148752251,0.574401511,0.174667015
40,0.012768276,0.151564811,-0.183801876,0.016565657
41,-0.175629303,-0.087779386,0.023218589,-0.143597246
42,-0.018302706,-0.318482259,0.034073253,-0.096072093
43,-0.066613349,-0.214668284,-0.08000665,-0.021729403
44,-0.038514277,-0.109232753,0.075488798,0.082184485
45,0.078360895,0.187158163,0.20875196,-0.374458164
46,0.03422872,-0.096910733,-0.06096894,-0.516517339
47,0.026404331,0.218362916,0.11999218,0.004525231
48,0.011664516,0.251301322,0.368786191,0.053244526
49,-0.046781008,-0.290354742,0.354395408,0.044094128
50,0.056528338,-0.281704382,0.014371482,0.405686918
51,-0.115242629,-0.016675266,-0.388793867,-0.214679092
52,-0.124496334,0.131744148,0.157557693,0.168596483
53,0.059984753,-0.225288552,-0.374484211,0.109054776
54,0.124809303,0.390603541,0.026465817,-0.043330467
55,-0.094411886,-0.256507931,0.08265363,0.063837956
56,0.127664777,-0.225562824,0.279234115,0.021111137
57,0.076664389,0.238640061,0.423641531,0.131548115
58,-0.02337354,-0.205171624,0.012297668,-0.129424062
59,0.178012313,0.217918845,-0.25429743,-0.111708353
60,0.206093223,0.382297063,-0.085203857,0.098950939
61,-0.076841384,-0.080594351,-0.079719457,0.229997856
62,0.16927704,-0.049834187,0.113866277,0.349824686
63,-0.021934891,0.089952333,-0.067888477,-0.213666786
64,-0.097663522,-0.363387916,-0.084572415,0.091265991
65,0.032965946,0.109638653,-0.284639875,0.124080691
66,0.165148111,0.517018959,0.142786872,0.541294948
67,0.115330217,0.475519801,0.079364954,0.20934872
68,0.041029677,-0.209133504,0.062105967,0.049421737
69,-0.096936789,-0.450493144,0.124771761,-0.206010963
70,0.154203669,0.018385065,0.175782094,-0.001900681
71,0.143912163,0.08661717,-0.115858626,0.111244883
